TagName,TagCount,ClassName,IdName
html,1,,
head,1,,
title,1,,
base,0,,
link,3,,
style,0,,
meta,1,,
body,1,,index
article,0,,
section,0,,
nav,1,,
aside,0,,
h1,1,,
h6,0,,
hgroup,0,,
header,1,,
footer,1,,
address,0,,
p,2,btn,
hr,0,,
pre,0,,
blockquote,0,,
ol,0,,
ul,1,global-nav,
li,3,,
dl,0,,
dt,0,,
dd,0,,
figure,0,,
figcaption,0,,
main,0,,
div,3,logo/content,wrap
a,5,,
em,0,,
strong,0,,
small,1,,
s,0,,
cite,0,,
q,0,,
dfn,0,,
abbr,0,,
code,0,,
var,0,,
samp,0,,
kbd,0,,
data,0,,
sub,0,,
sup,0,,
time,0,,
i,0,,
b,0,,
u,0,,
mark,0,,
ruby,0,,
rb,0,,
rt,0,,
rtc,0,,
rp,0,,
bdi,0,,
bdo,0,,
span,0,,
br,1,,
wbr,0,,
ins,0,,
del,0,,
img,1,,
picture,0,,
iframe,0,,
embed,0,,
object,0,,
param,0,,
video,0,,
audio,0,,
track,0,,
source,0,,
map,0,,
area,0,,
table,0,,
caption,0,,
colgroup,0,,
col,0,,
tbody,0,,
thead,0,,
tfoot,0,,
tr,0,,
td,0,,
th,0,,
form,0,,
fieldset,0,,
legend,0,,
label,0,,
input,0,,
select,0,,
option,0,,
optgroup,0,,
textarea,0,,
button,0,,
datalist,0,,
keygen,0,,
output,0,,
progress,0,,
meter,0,,
script,0,,
noscript,0,,
template,0,,
canvas,0,,
details,0,,
summary,0,,
menu,0,,
menuitem,0,,
command,0,,
